,Province_State,Country_Region,Lat,Long,Date,Confirmed,Deaths,Recovered
148149,,Afghanistan,33.93911,67.709953,2021-07-06,127464,5360,76218
148150,,Albania,41.1533,20.1683,2021-07-06,132544,2456,130033
148151,,Algeria,28.0339,1.6596,2021-07-06,142447,3775,99101
148152,,Andorra,42.5063,1.5218,2021-07-06,13991,127,13752
148153,,Angola,-11.2027,17.8739,2021-07-06,39375,920,34019
148154,,Antigua and Barbuda,17.0608,-61.7964,2021-07-06,1265,42,1222
148155,,Argentina,-38.4161,-63.6167,2021-07-06,4574340,96983,4192546
148156,,Armenia,40.0691,45.0382,2021-07-06,225661,4530,217250
148157,Australian Capital Territory,Australia,-35.4735,149.0124,2021-07-06,124,3,121
148158,New South Wales,Australia,-33.8688,151.2093,2021-07-06,6025,54,0
148159,Northern Territory,Australia,-12.4634,130.8456,2021-07-06,185,0,177
148160,Queensland,Australia,-27.4698,153.0251,2021-07-06,1729,7,1641
148161,South Australia,Australia,-34.9285,138.6007,2021-07-06,813,4,794
148162,Tasmania,Australia,-42.8821,147.3272,2021-07-06,234,13,221
148163,Victoria,Australia,-37.8136,144.9631,2021-07-06,20718,820,19879
148164,Western Australia,Australia,-31.9505,115.8605,2021-07-06,1033,9,1013
148165,,Austria,47.5162,14.5501,2021-07-06,650901,10718,638456
148166,,Azerbaijan,40.1431,47.5769,2021-07-06,336557,4978,330513
148167,,Bahamas,25.025885,-78.035889,2021-07-06,12889,251,11740
148168,,Bahrain,26.0275,50.55,2021-07-06,266685,1366,263660
148169,,Bangladesh,23.685,90.3563,2021-07-06,966406,15392,844515
148170,,Barbados,13.1939,-59.5432,2021-07-06,4096,47,4008
148171,,Belarus,53.7098,27.9534,2021-07-06,422521,3204,415363
148172,,Belgium,50.8333,4.469936,2021-07-06,1089105,25194,0
148173,,Belize,17.1899,-88.4976,2021-07-06,13409,330,12763
148174,,Benin,9.3077,2.3158,2021-07-06,8199,104,8000
148175,,Bhutan,27.5142,90.4336,2021-07-06,2210,1,1891
148176,,Bolivia,-16.2902,-63.5887,2021-07-06,448213,17013,372138
148177,,Bosnia and Herzegovina,43.9159,17.6791,2021-07-06,205047,9667,183663
148178,,Botswana,-22.3285,24.6849,2021-07-06,73977,1188,68069
148179,,Brazil,-14.235,-51.9253,2021-07-06,18855015,526892,16740136
148180,,Brunei,4.5353,114.7277,2021-07-06,266,3,255
148181,,Bulgaria,42.7339,25.4858,2021-07-06,422238,18127,395915
148182,,Burkina Faso,12.2383,-1.5616,2021-07-06,13494,168,13313
148183,,Burma,21.9162,95.956,2021-07-06,171976,3513,140387
148184,,Burundi,-3.3731,29.9189,2021-07-06,5535,8,773
148185,,Cabo Verde,16.5388,-23.0418,2021-07-06,32788,289,31931
148186,,Cambodia,11.55,104.9167,2021-07-06,56122,779,48040
148187,,Cameroon,3.848,11.5021,2021-07-06,80858,1324,35261
148188,Alberta,Canada,53.9333,-116.5765,2021-07-06,232269,2305,0
148189,British Columbia,Canada,53.7267,-127.6476,2021-07-06,147797,1759,0
148190,Diamond Princess,Canada,0.0,0.0,2021-07-06,0,1,0
148191,Grand Princess,Canada,0.0,0.0,2021-07-06,13,0,0
148192,Manitoba,Canada,53.7609,-98.8139,2021-07-06,56516,1152,0
148193,New Brunswick,Canada,46.5653,-66.4619,2021-07-06,2336,46,0
148194,Newfoundland and Labrador,Canada,53.1355,-57.6604,2021-07-06,1400,7,0
148195,Northwest Territories,Canada,64.8255,-124.8457,2021-07-06,128,0,0
148196,Nova Scotia,Canada,44.682,-63.7443,2021-07-06,5861,92,0
148197,Nunavut,Canada,70.2998,-83.1076,2021-07-06,657,4,0
148198,Ontario,Canada,51.2538,-85.3232,2021-07-06,553651,9187,0
148199,Prince Edward Island,Canada,46.5107,-63.4168,2021-07-06,207,0,0
148200,Quebec,Canada,52.9399,-73.5491,2021-07-06,375262,11218,0
148201,Repatriated Travellers,Canada,,,2021-07-06,13,0,0
148202,Saskatchewan,Canada,52.9399,-106.4509,2021-07-06,48992,569,0
148203,Yukon,Canada,64.2823,-135.0,2021-07-06,435,5,0
148204,,Central African Republic,6.6111,20.9394,2021-07-06,7141,98,6859
148205,,Chad,15.4542,18.7322,2021-07-06,4952,174,4777
148206,,Chile,-35.6751,-71.543,2021-07-06,1574465,33288,1520879
148207,Anhui,China,31.8257,117.2264,2021-07-06,1008,6,998
148208,Beijing,China,40.1824,116.4142,2021-07-06,1078,9,1060
148209,Chongqing,China,30.0572,107.874,2021-07-06,601,6,591
148210,Fujian,China,26.0789,117.9874,2021-07-06,690,1,639
148211,Gansu,China,35.7518,104.2861,2021-07-06,195,2,193
148212,Guangdong,China,23.3417,113.4244,2021-07-06,2764,8,2657
148213,Guangxi,China,23.8298,108.7881,2021-07-06,276,2,273
148214,Guizhou,China,26.8154,106.8748,2021-07-06,147,2,145
148215,Hainan,China,19.1959,109.7453,2021-07-06,188,6,181
148216,Hebei,China,39.549,116.1306,2021-07-06,1317,7,0
148217,Heilongjiang,China,47.862,127.7615,2021-07-06,1612,13,1599
148218,Henan,China,37.8957,114.9042,2021-07-06,1318,22,0
148219,Hong Kong,China,22.3,114.2,2021-07-06,11944,212,11642
148220,Hubei,China,30.9756,112.2707,2021-07-06,68187,4512,63648
148221,Hunan,China,27.6104,111.7088,2021-07-06,1061,4,1047
148222,Inner Mongolia,China,44.0935,113.9448,2021-07-06,394,1,391
148223,Jiangsu,China,32.9711,119.455,2021-07-06,744,0,734
148224,Jiangxi,China,27.614,115.7221,2021-07-06,937,1,936
148225,Jilin,China,43.6661,126.1923,2021-07-06,573,3,570
